id,condition,seller,brand,model,name,category,processor,graphics,ram,storage,display,display_size,display_resolution,product_url,price,image_url,in_stock
357,New,dream 2000,Asus,Zenbook A14,"ASUS Zenbook A14 Laptop, Snapdragon X Elite X1E 78 100, 32GB Ram, 1TB SSD, Qualcomm Adreno, 14'' WUXGA OLED, UX3407RA-QD010W, Win - Iceland Grey",Business,Snapdragon X Elite X1E 78 100,Qualcomm Adreno GPU,32,1024,"14.0-inch, WUXGA (1920 x 1200) OLED 16:10 aspect ratio, LED Backlit, 0.2ms response time, 60Hz refresh rate, 400nits, 600nits HDR peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy",14,FHD ,https://dream2000.com/en/asus-zenbook-a14-laptop-snapdragonr-x-elite-x1e-78-100-32gb-ram-1tb-ssd-qualcommr-adrenotm-14-wuxga-oled-ux3407ra-qd010w-win-11-iceland-grey.html,79999,https://r2media.horizondm.com/catalog/product/cache/eb4305db09fb6492bb059b8131f647e3/_/-/_-_2025-03-05t104529.272.jpg,in stock
358,New,abc-shop,Asus,ZenBook Duo 14 UX482EGR-HY007T,ASUS ZenBook Duo 14 UX482EGR-HY007T - i7 1165G7 16GB LPDDR4X 1TB NVMe MX450 IPS FHD 60Hz WIN 11,Business,Intel Core i7 1165G7,NVIDIA MX 450,16,1024,"14 Inch,  Full HD (1920x1080), refresh rate: 60Hz",14,FHD,https://www.abcshop-eg.com/en/shop/90nb0s51-m000f0-asus-zenbook-duo-14-ux482egr-hy007t-329?page=8&category=13&order=on_hand+desc,45999,https://www.abcshop-eg.com/web/image/product.template/329/image_512/%5B90NB0S51-M000F0%5D%20ASUS%20ZenBook%20Duo%2014%20UX482EGR-HY007T?unique=3366e1f,out of stock
359,New,abc-shop,Asus,90NB0S51-M004A0,ASUS ZenBook Duo 14 UX482EGR-HY007W - i7 1165G7 16GB LPDDR4X 1TB NVMe MX450 IPS FHD 60Hz WIN 11,Business,Intel Core i7 1195G7,NVIDIA MX 450,16,1024,"14 Inch,  Full HD (1920x1080), refresh rate: 60Hz",14,FHD,https://www.abcshop-eg.com/en/shop/90nb0s51-m004a0-asus-zenbook-duo-14-ux482egr-hy007w-307?page=9&category=13&order=on_hand+desc,45999,https://www.abcshop-eg.com/web/image/product.template/307/image_512/%5B90NB0S51-M004A0%5D%20ASUS%20ZenBook%20Duo%2014%20UX482EGR-HY007W?unique=3366e1f,out of stock
360,New,btech,Asus,Zenbook DUO 2024 UX8406MA,"Asus Zenbook DUO 2024 UX8406MA Laptop, Intel Core Ultra 7 155H, 1TB SSD, 16GB RAM, 14 Inch, 3K, OLED, 120Hz, Intel Arc Graphics, Windows 11 - Inkwell Grey with Sleeve","Study, Work",Intel Core Ultra 7 155H ,Intel Arc,16,1024,"14 Inch, 2.8K, ( 28801800 )",14,2.8K,https://btech.com/en/asus-zenbook-duo-2024-ux8406-ultra-7-155h-1tb-14-3k-120hz-windows-11-grey-bag-sleeve.html,"94,599",https://btech.com/media/catalog/product/cache/3688dc129a5ab19d7cb91894dd85ffe3/1/b/1baslpmdoledi7igl020.jpg,in stock
361,New,abc-shop,Asus,90NB12U1-M003F0,ASUS Zenbook Duo ULTRA UX8406MA-OLEDI7IG - ULTRA 7 155H 16GB LPDDR5X 1TB NVMe Intel Arc OLED 3K 120Hz WIN 11,Business,Intel Core Ultra 7 155H,Intel Arc,16,1024,"14 Inch,  3K (2880x1800), refresh rate: 120Hz",14,3K,https://www.abcshop-eg.com/en/shop/90nb12u1-m003f0-asus-zenbook-duo-ultra-ux8406ma-oledi7ig-1931?category=13&order=on_hand+desc,101999,https://www.abcshop-eg.com/web/image/product.template/1931/image_512/%5B90NB12U1-M003F0%5D%20ASUS%20Zenbook%20Duo%20ULTRA%20UX8406MA-OLEDI7IG?unique=91ae18a,out of stock
362,New,dream 2000,Asus,Zenbook DUO UX8406MA-OLEDI7IG,"Asus Zenbook DUO UX8406MA-OLEDI7IGIntel Ultra 7 -155H, 16GB Ram, 1TB SSD- ARC Graphics, 14 inch OLED, WIN11- Inkwell Gray",Gaming,Intel Core Ultra 7,Intel Arc,16,1024,"14"" 3K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 120Hz refresh rate, 400nits, 500nits HDR peak brightness, 100% DCI-P3 color",14,2.8k,https://dream2000.com/en/asus-zenbook-duo-ux8406ma-oledi7ig-intel-ultra-7-155h-16gb-ram-1tb-ssd-arc-graphics-14-inch-oled-win11-inkwell-gray.html,90199,https://r2media.horizondm.com/catalog/product/cache/eb4305db09fb6492bb059b8131f647e3/a/s/asus-zenbook-duo-ux8406ma-oledi7ig-1.jpg,in stock
363,New,abc-shop,Asus,90NB0RZ1-M08500,ASUS ZenBook Flip 13 OLED UX363EA-OLED007T - i7 1165G7 16GB DDR4 1TB NVMe Iris Xe OLED FHD 60Hz WIN 11,Business,Intel Core i7 1165G7,Intel Iris Xe,16,1024,"13.3 Inch,  Full HD (1920x1080), refresh rate: 60Hz",13.3,FHD,https://www.abcshop-eg.com/en/shop/90nb0rz1-m08500-asus-zenbook-flip-13-oled-ux363ea-oled007t-327?page=8&category=13&order=on_hand+desc,42999,https://www.abcshop-eg.com/web/image/product.template/327/image_512/%5B90NB0RZ1-M08500%5D%20ASUS%20ZenBook%20Flip%2013%20OLED%20UX363EA-OLED007T?unique=a736d42,out of stock
364,New,abc-shop,Asus,90NB0RZ1-M002A0,ASUS ZenBook Flip 13 OLED UX363EA-OLED007W - i7 1165G7 16GB DDR4 1TB NVMe Intel Iris Xe OLED  FHD 60Hz WIN 11,Business,Intel Core i7 1165G7,Intel Iris Xe,16,1024,"13.3 Inch,  Full HD (1920x1080), refresh rate: 60Hz",13.3,FHD,https://www.abcshop-eg.com/en/shop/90nb0rz1-m002a0-asus-zenbook-flip-13-oled-ux363ea-oled007w-1143?page=4&category=13&order=on_hand+desc,37999,https://www.abcshop-eg.com/web/image/product.template/1143/image_512/%5B90NB0RZ1-M002A0%5D%20ASUS%20ZenBook%20Flip%2013%20OLED%20UX363EA-OLED007W?unique=3366e1f,out of stock
365,New,abc-shop,Asus,UX9702AA-OLED007W,Asus Zenbook Fold OLED UX9702AA-OLED007W - i7 1250U 16GB LPDDR5 1TB NVMe Intel Iris Xe OLED 2.5K 60Hz WIN 11,Business,Intel Core i7 1250U,Intel Iris Xe,16,1024,"17.3 Inch,  2.5K (2560X1920), refresh rate: 60Hz",17.3,2.5K,https://www.abcshop-eg.com/en/shop/90nb0wx1-m004e0-asus-zenbook-fold-oled-ux9702aa-oled007w-1751?page=2&category=13&order=on_hand+desc,104999,https://www.abcshop-eg.com/web/image/product.template/1751/image_512/%5B90NB0WX1-M004E0%5D%20Asus%20Zenbook%20Fold%20OLED%20UX9702AA-OLED007W?unique=03205f4,out of stock
366,New,abc-shop,Asus,90NB0VR1-M001Z0,ASUS ZenBook Pro Duo 15 OLED X582ZM-OLED009W - i9 12900H 32GB LPDDR5 1TB NVMe RTX 3060 OLED 60Hz WIN 11,Gaming,Intel Core i9 12900H,NVIDIA RTX 3060,32,1024,"15.6 Inch,  4K UHD (3840x2160), refresh rate: 60Hz",15.6,4K,https://www.abcshop-eg.com/en/shop/90nb0vr1-m001z0-asus-zenbook-pro-duo-15-oled-x582zm-oled009w-1163?page=6&category=14&order=on_hand+desc,112222,https://www.abcshop-eg.com/web/image/product.template/1163/image_512/%5B90NB0VR1-M001Z0%5D%20ASUS%20ZenBook%20Pro%20Duo%2015%20OLED%20X582ZM-OLED009W?unique=3366e1f,out of stock
